['3505', 'ရှမ်းပြည်နယ် ဗမာတိုင်းရင်းသားလူမျိုးမဲဆန္ဒနယ်', None, 'ethnic']
['3506', 'ရှမ်းပြည်နယ် ကချင်တိုင်းရင်းသားလူမျိုးမဲဆန္ဒနယ်', None, 'ethnic']
['3507', 'ရှမ်းပြည်နယ် လီဆူးတိုင်းရင်းသားလူမျိုးမဲဆန္ဒနယ်', None, 'ethnic']
['3508', 'ရှမ်းပြည်နယ် လားဟူတိုင်းရင်းသားလူမျိုးမဲဆန္ဒနယ်', None, 'ethnic']
['3509', 'ရှမ်းပြည်နယ် အင်းသားတိုင်းရင်းသားလူမျိုးမဲဆန္ဒနယ်', None, 'ethnic']
['3511', 'ရှမ်းပြည်နယ် ကယန်း(ခ)ပဒေါင်တိုင်းရင်းသားလူမျိုးမဲဆန္ဒနယ်', None, 'ethnic']
['3510', 'ရှမ်းပြည်နယ် အာခါတိုင်းရင်းသားလူမျိုးမဲဆန္ဒနယ်', None, 'ethnic']
['2817', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၁)', None, 'amyotha']
['2819', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၂)', None, 'amyotha']
['2820', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၃)', None, 'amyotha']
['2821', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၄)', None, 'amyotha']
['2824', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၅)', None, 'amyotha']
['2826', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၆)', None, 'amyotha']
['2827', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၇)', None, 'amyotha']
['2818', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၈)', None, 'amyotha']
['2822', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၉)', None, 'amyotha']
['2823', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၁၀)', None, 'amyotha']
['2825', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၁၁)', None, 'amyotha']
['2828', 'ရှမ်းပြည်နယ် အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်အမှတ်(၁၂)', None, 'amyotha']
['2592', 'ကျောက်မဲမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ကျောက်မဲမြို့နယ်', 'pyithu']
['2593', 'သီပေါမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'သီပေါမြို့နယ်', 'pyithu']
['2594', 'နောင်ချိုမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'နောင်ချိုမြို့နယ်', 'pyithu']
['2595', 'နမ္မတူမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'နမ္မတူမြို့နယ်', 'pyithu']
['2596', 'နမ့်ဆန်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'နမ့်ဆန်မြို့နယ်', 'pyithu']
['2597', 'မန်တုံမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မန်တုံမြို့နယ်', 'pyithu']
['2598', 'ကျိုင်းတုံမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ကျိုင်းတုံမြို့နယ်', 'pyithu']
['2599', 'မိုင်းခတ်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မိုင်းခတ်မြို့နယ်', 'pyithu']
['2600', 'မိုင်းယန်းမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မိုင်းယန်းမြို့နယ်', 'pyithu']
['2602', 'မိုင်းပျဉ်းမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မိုင်းပျဉ်းမြို့နယ်', 'pyithu']
['2603', 'တာချီလိတ်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'တာချီလိတ်မြို့နယ်', 'pyithu']
['2604', 'မိုင်းဖြတ်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မိုင်းဖြတ်မြို့နယ်', 'pyithu']
['2605', 'မိုင်းယောင်းမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မိုင်းယောင်းမြို့နယ်', 'pyithu']
['2606', 'တောင်ကြီးမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'တောင်ကြီးမြို့နယ်', 'pyithu']
['2607', 'ညောင်ရွှေမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ညောင်ရွှေမြို့နယ်', 'pyithu']
['2608', 'ကလောမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ကလောမြို့နယ်', 'pyithu']
['2609', 'ရပ်စောက်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ရပ်စောက်မြို့နယ်', 'pyithu']
['2610', 'ဖယ်ခုံမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ဖယ်ခုံမြို့နယ်', 'pyithu']
['2611', 'ရွာငံမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ရွာငံမြို့နယ်', 'pyithu']
['2612', 'ပင်းတယမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ပင်းတယမြို့နယ်', 'pyithu']
['2613', 'ဟိုပုံးမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ဟိုပုံးမြို့နယ်', 'pyithu']
['2614', 'ဆီဆိုင်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ဆီဆိုင်မြို့နယ်', 'pyithu']
['2615', 'ပင်လောင်းမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ပင်လောင်းမြို့နယ်', 'pyithu']
['2616', 'ကွတ်ခိုင်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ကွတ်ခိုင်မြို့နယ်', 'pyithu']
['2617', 'နမ့်ခမ်းမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'နမ့်ခမ်းမြို့နယ်', 'pyithu']
['2618', 'မူဆယ်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မူဆယ်မြို့နယ်', 'pyithu']
['2619', 'မဘိမ်းမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မဘိမ်းမြို့နယ်', 'pyithu']
['2620', 'မိုးမိတ်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မိုးမိတ်မြို့နယ်', 'pyithu']
['2621', 'မက်မန်းမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မက်မန်းမြို့နယ်', 'pyithu']
['2624', 'မိုင်းဆတ်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မိုင်းဆတ်မြို့နယ်', 'pyithu']
['2625', 'မိုင်းတုံမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မိုင်းတုံမြို့နယ်', 'pyithu']
['2626', 'တန့်ယန်းမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'တန့်ယန်းမြို့နယ်', 'pyithu']
['2627', 'မိုင်းရယ်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မိုင်းရယ်မြို့နယ်', 'pyithu']
['2628', 'လားရှိုးမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'လားရှိုးမြို့နယ်', 'pyithu']
['2629', 'သိန္နီမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'သိန္နီမြို့နယ်', 'pyithu']
['2630', 'ကွမ်းလုံမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ကွမ်းလုံမြို့နယ်', 'pyithu']
['2631', 'မိုးနဲမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မိုးနဲမြို့နယ်', 'pyithu']
['2632', 'မိုင်းပန်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မိုင်းပန်မြို့နယ်', 'pyithu']
['2633', 'မောက်မယ်မြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'မောက်မယ်မြို့နယ်', 'pyithu']
['2634', 'လင်းခေးမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'လင်းခေးမြို့နယ်', 'pyithu']
['2635', 'ကုန်းကြမ်းမြို့နယ် ပြည်သူ့လွှတ်တော်မဲဆန္ဒနယ်', 'ကုန်းကြမ်းမြို့နယ်', 'pyithu']
